region,type_pf,year,n_prop,n_transitions,n_eval_pairs,months_obs_sum,months_eval_sum,reval_events,reval_down_events,impair_events,n_prop_yoy,bv_yoy_med_pct,reval_event_rate_pct,reval_down_rate_pct,impair_event_rate_pct,downval_events,downval_rate_per_month_pct
수도권,숙박,2023,4,13,13,39.0,39.0,3,0,0,4.0,23.961830050177202,23.076923076923077,0.0,0.0,0,0.0
수도권,숙박,2024,6,15,7,45.0,21.0,0,0,0,4.0,-0.09612337786021885,0.0,0.0,0.0,0,0.0
수도권,숙박,2025,7,23,0,69.0,0.0,0,0,0,,,,,,0,nan
수도권,숙박,2026,8,8,0,24.0,0.0,0,0,0,,,,,,0,nan
수도권,업무,2019,61,108,108,315.0,315.0,5,0,0,,,4.62962962962963,0.0,0.0,0,0.0
수도권,업무,2020,67,228,228,672.0,672.0,5,0,0,56.0,-0.6119077525708783,2.1929824561403506,0.0,0.0,0,0.0
수도권,업무,2021,66,216,216,627.0,627.0,5,0,0,57.0,-0.44567746554501353,2.314814814814815,0.0,0.0,0,0.0
수도권,업무,2022,70,221,201,696.0,636.0,0,0,0,52.0,-0.5443298504579863,0.0,0.0,0.0,0,0.0
수도권,업무,2023,76,253,234,816.0,759.0,0,0,1,59.0,-0.5364341329883282,0.0,0.0,0.4273504273504274,1,0.13175230566534915
수도권,업무,2024,77,246,137,783.0,444.0,0,0,1,61.0,-0.40739279135594275,0.0,0.0,0.7299270072992701,1,0.22522522522522523
수도권,업무,2025,84,181,3,654.0,9.0,0,0,0,1.0,-0.7658785741287755,0.0,0.0,0.0,0,0.0
수도권,업무,2026,33,39,0,156.0,0.0,0,0,0,,,,,,0,nan
수도권,주거,2019,174,287,285,867.0,861.0,2,1,2,,,0.7017543859649122,0.3508771929824561,0.7017543859649122,3,0.34843205574912894
수도권,주거,2020,232,777,765,2424.0,2388.0,6,5,2,181.0,-1.1122583067392555,0.7843137254901961,0.6535947712418301,0.261437908496732,7,0.2931323283082077
수도권,주거,2021,263,925,916,2883.0,2856.0,8,8,0,223.0,-1.225993159694816,0.8733624454148471,0.8733624454148471,0.0,8,0.2801120448179272
수도권,주거,2022,278,1007,998,3183.0,3156.0,7,6,0,248.0,-1.0087695864328616,0.7014028056112225,0.6012024048096193,0.0,6,0.19011406844106463
수도권,주거,2023,280,1055,1051,3183.0,3171.0,8,4,3,266.0,-0.8868649664290074,0.7611798287345386,0.3805899143672693,0.285442435775452,7,0.22075055187637968
수도권,주거,2024,292,1030,558,3123.0,1683.0,2,1,7,273.0,-0.47272062183442154,0.35842293906810035,0.17921146953405018,1.2544802867383513,8,0.4753416518122401
수도권,주거,2025,244,699,1,2136.0,12.0,0,0,0,2.0,-42.788979462024905,0.0,0.0,0.0,0,0.0
수도권,주거,2026,4,4,0,12.0,0.0,0,0,0,,,,,,0,nan
지방,기타,2019,4,7,7,21.0,21.0,0,0,0,,,0.0,0.0,0.0,0,0.0
지방,기타,2020,7,22,22,72.0,72.0,1,0,0,6.0,-1.1817958314648436,4.545454545454546,0.0,0.0,0,0.0
지방,기타,2021,8,26,26,78.0,78.0,1,0,0,5.0,0.0,3.8461538461538463,0.0,0.0,0,0.0
지방,기타,2022,9,19,19,66.0,66.0,1,1,0,5.0,-0.4801509045700092,5.263157894736842,5.263157894736842,0.0,1,1.5151515151515151
지방,기타,2023,6,20,20,63.0,63.0,0,0,0,6.0,0.0013260840737272517,0.0,0.0,0.0,0,0.0
지방,기타,2024,12,28,18,114.0,66.0,0,0,0,10.0,0.034900637892110176,0.0,0.0,0.0,0,0.0
지방,기타,2025,12,35,0,117.0,0.0,0,0,0,1.0,-0.18462460176991158,,,,0,nan
지방,기타,2026,4,4,1,30.0,3.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0.0
지방,산업,2019,3,6,6,18.0,18.0,0,0,0,,,0.0,0.0,0.0,0,0.0
지방,산업,2020,4,13,13,36.0,36.0,0,0,0,3.0,-2.0035686974254396,0.0,0.0,0.0,0,0.0
지방,산업,2021,9,25,25,69.0,69.0,1,0,0,5.0,-0.43825148893134047,4.0,0.0,0.0,0,0.0
지방,산업,2022,9,35,35,96.0,96.0,0,0,0,8.0,-1.4457895304416601,0.0,0.0,0.0,0,0.0
지방,산업,2023,9,36,36,108.0,108.0,0,0,0,9.0,-1.5589743589743632,0.0,0.0,0.0,0,0.0
지방,산업,2024,9,33,22,105.0,69.0,0,0,0,9.0,-1.0459409445651269,0.0,0.0,0.0,0,0.0
지방,산업,2025,8,24,0,75.0,0.0,0,0,0,,,,,,0,nan
지방,산업,2026,5,6,0,30.0,0.0,0,0,0,,,,,,0,nan
지방,상업,2019,10,19,19,57.0,57.0,2,0,0,,,10.526315789473683,0.0,0.0,0,0.0
지방,상업,2020,21,60,60,204.0,204.0,2,1,0,16.0,-1.5459185033892542,3.3333333333333335,1.6666666666666667,0.0,1,0.49019607843137253
지방,상업,2021,14,52,52,156.0,156.0,1,0,0,12.0,-1.5925008079198888,1.9230769230769231,0.0,0.0,0,0.0
지방,상업,2022,13,51,47,153.0,141.0,0,0,0,12.0,-1.7123657358621036,0.0,0.0,0.0,0,0.0
지방,상업,2023,13,52,48,156.0,144.0,0,0,0,12.0,-1.742233597529469,0.0,0.0,0.0,0,0.0
지방,상업,2024,14,50,25,150.0,75.0,1,0,0,12.0,-0.975875259113429,4.0,0.0,0.0,0,0.0
지방,상업,2025,12,44,0,135.0,0.0,0,0,0,,,,,,0,nan
지방,상업,2026,10,11,0,33.0,0.0,0,0,0,,,,,,0,nan
지방,숙박,2019,1,1,1,3.0,3.0,0,0,0,,,0.0,0.0,0.0,0,0.0
지방,숙박,2020,3,4,4,12.0,12.0,0,0,0,1.0,-1.457867786994571,0.0,0.0,0.0,0,0.0
지방,숙박,2021,5,10,10,45.0,45.0,0,0,0,3.0,-1.6760177607950566,0.0,0.0,0.0,0,0.0
지방,숙박,2022,4,13,13,42.0,42.0,0,0,0,3.0,-1.3232221620366746,0.0,0.0,0.0,0,0.0
지방,숙박,2023,4,16,16,48.0,48.0,0,0,0,4.0,-1.3023178599408047,0.0,0.0,0.0,0,0.0
지방,숙박,2024,4,14,10,42.0,30.0,0,0,0,4.0,-0.7899928728920147,0.0,0.0,0.0,0,0.0
지방,숙박,2025,3,10,0,30.0,0.0,0,0,0,,,,,,0,nan
지방,숙박,2026,2,2,0,6.0,0.0,0,0,0,,,,,,0,nan
지방,업무,2019,3,4,3,12.0,9.0,0,0,0,,,0.0,0.0,0.0,0,0.0
지방,업무,2020,5,18,18,54.0,54.0,0,0,0,3.0,0.36888929180887153,0.0,0.0,0.0,0,0.0
지방,업무,2021,5,19,19,57.0,57.0,0,0,0,5.0,-0.962607958700501,0.0,0.0,0.0,0,0.0
지방,업무,2022,6,18,18,48.0,48.0,0,0,0,4.0,-1.5728025163753268,0.0,0.0,0.0,0,0.0
지방,업무,2023,5,20,20,60.0,60.0,0,0,0,5.0,-1.7215216367536978,0.0,0.0,0.0,0,0.0
지방,업무,2024,7,15,7,45.0,21.0,0,0,0,5.0,-0.43658822276647635,0.0,0.0,0.0,0,0.0
지방,업무,2025,3,9,0,27.0,0.0,0,0,0,,,,,,0,nan
지방,주거,2019,46,75,74,225.0,222.0,0,0,0,,,0.0,0.0,0.0,0,0.0
지방,주거,2020,56,179,175,561.0,549.0,4,4,0,41.0,-1.4009815226413092,2.2857142857142856,2.2857142857142856,0.0,4,0.7285974499089253
지방,주거,2021,59,213,209,663.0,651.0,4,3,0,50.0,-1.563873210967337,1.9138755980861244,1.4354066985645932,0.0,3,0.4608294930875576
지방,주거,2022,65,230,223,723.0,702.0,5,4,0,59.0,-1.5590153300612308,2.242152466367713,1.7937219730941705,0.0,4,0.5698005698005698
지방,주거,2023,66,244,236,747.0,723.0,2,2,4,62.0,-1.6210147620965232,0.847457627118644,0.847457627118644,1.694915254237288,6,0.8298755186721992
지방,주거,2024,69,221,116,687.0,354.0,0,0,1,57.0,-0.8295536847079621,0.0,0.0,0.8620689655172413,1,0.2824858757062147
지방,주거,2025,64,170,0,546.0,0.0,0,0,0,,,,,,0,nan
지방,주거,2026,1,1,0,3.0,0.0,0,0,0,,,,,,0,nan
,기타,2019,1,1,1,3.0,3.0,0,0,0,,,0.0,0.0,0.0,0,0.0
,기타,2020,2,5,5,15.0,15.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0.0
,기타,2021,1,1,1,3.0,3.0,0,0,0,1.0,17654.078549848942,0.0,0.0,0.0,0,0.0
,기타,2022,1,2,2,6.0,6.0,0,0,0,,,0.0,0.0,0.0,0,0.0
,기타,2023,2,5,5,15.0,15.0,0,0,0,1.0,0.1664362887528581,0.0,0.0,0.0,0,0.0
,기타,2024,1,3,2,9.0,6.0,0,0,0,1.0,0.21966880702939395,0.0,0.0,0.0,0,0.0
